date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2022-09-14,55,1,27,0
2022-09-15,59,1,28,1
2022-09-16,52,1,21,3
2022-09-17,51,3,15,0
2022-09-18,59,3,8,0
2022-09-19,36,2,35,4
2022-09-20,55,4,21,4
2022-09-21,54,6,20,1
2022-09-22,51,5,22,4
2022-09-23,43,7,22,2
2022-09-24,42,7,14,1
2022-09-25,52,8,9,0
2022-09-26,42,5,27,4
2022-09-27,53,9,25,1
2022-09-28,62,7,30,4
2022-09-29,65,7,13,9
2022-09-30,54,5,19,4
2022-10-01,49,7,12,2
2022-10-02,52,6,7,2
2022-10-03,43,6,25,0
2022-10-04,48,5,28,2
2022-10-05,59,6,24,1
2022-10-06,67,6,18,2
2022-10-07,52,6,28,1
2022-10-08,54,5,11,1
2022-10-09,55,6,10,0
2022-10-10,41,5,36,3
2022-10-11,54,6,30,1
2022-10-12,57,4,25,1
2022-10-13,60,3,26,1
2022-10-14,44,3,26,1
2022-10-15,45,2,21,1
2022-10-16,57,1,9,1
2022-10-17,30,2,39,5
2022-10-18,48,5,19,9
2022-10-19,48,6,23,9
2022-10-20,54,9,17,2
2022-10-21,41,2,36,1
2022-10-22,57,3,13,1
2022-10-23,51,4,3,0
2022-10-24,33,3,25,0
2022-10-25,43,2,10,1
2022-10-26,46,2,16,2
2022-10-27,44,4,18,0
2022-10-28,39,2,30,2
2022-10-29,57,4,16,0
2022-10-30,69,3,13,0
2022-10-31,61,1,4,1
2022-11-01,52,2,7,1
2022-11-02,39,3,16,1
2022-11-03,40,4,16,0
2022-11-04,47,4,29,1
2022-11-05,50,1,16,0
2022-11-06,59,0,7,0
2022-11-07,35,0,36,0
2022-11-08,50,0,29,2
2022-11-09,57,2,20,1
2022-11-10,45,2,29,6
2022-11-11,50,4,25,0
2022-11-12,63,4,12,1
2022-11-13,68,5,6,0
2022-11-14,35,2,37,2
2022-11-15,52,0,32,2
2022-11-16,65,2,36,2
2022-11-17,63,3,24,0
2022-11-18,59,0,24,3
2022-11-19,51,3,21,0
2022-11-20,58,3,12,1
2022-11-21,42,3,29,1
2022-11-22,51,2,39,1
2022-11-23,64,2,35,0
2022-11-24,79,1,29,1
2022-11-25,60,1,34,0
2022-11-26,64,0,10,0
2022-11-27,59,0,9,0
2022-11-28,32,0,35,3
2022-11-29,51,3,27,3
2022-11-30,54,4,31,3
2022-12-01,51,7,26,5
2022-12-02,50,7,6,22
2022-12-03,39,24,3,9
2022-12-04,35,28,3,3
2022-12-05,23,12,36,6
2022-12-06,37,8,47,0
2022-12-07,69,7,31,7
2022-12-08,77,13,29,0
2022-12-09,51,8,52,2
2022-12-10,67,5,14,2
2022-12-11,71,5,6,0
2022-12-12,39,2,42,3
2022-12-13,56,3,35,9
2022-12-14,62,7,23,2
2022-12-15,54,5,25,5
2022-12-16,46,4,15,13
2022-12-17,38,13,11,6
2022-12-18,42,17,3,9
2022-12-19,37,14,9,1
2022-12-20,25,12,11,2
2022-12-21,29,8,9,0
2022-12-22,26,6,21,7
2022-12-23,37,13,19,9
2022-12-24,54,22,15,7
2022-12-25,68,27,4,2
2022-12-26,66,19,6,2
2022-12-27,52,17,15,0
2022-12-28,54,15,8,0
2022-12-29,44,11,14,0
2022-12-30,47,10,9,3
2022-12-31,46,11,1,1
2023-01-01,36,11,0,1
2023-01-02,22,10,8,1
2023-01-03,16,3,15,0
2023-01-04,19,2,20,1
2023-01-05,28,2,13,1
2023-01-06,25,2,23,0
2023-01-07,34,1,6,0
2023-01-08,33,1,2,0
2023-01-09,18,1,27,0
2023-01-10,34,1,29,3
2023-01-11,42,4,23,2
2023-01-12,45,3,21,0
2023-01-13,38,1,29,2
2023-01-14,41,2,18,0
2023-01-15,49,2,8,0
2023-01-16,38,1,35,3
2023-01-17,54,3,22,15
2023-01-18,56,16,16,12
2023-01-19,47,21,1,6
2023-01-20,42,12,31,2
2023-01-21,54,5,13,2
2023-01-22,58,5,7,0
2023-01-23,39,1,41,2
2023-01-24,61,3,44,7
2023-01-25,85,7,36,5
2023-01-26,76,8,41,5
2023-01-27,57,4,61,7
2023-01-28,48,6,63,1
2023-01-29,50,4,61,3
2023-01-30,29,1,24,1
2023-01-31,44,2,0,9
2023-02-01,39,10,20,1
2023-02-02,45,8,26,2
2023-02-03,36,3,28,0
2023-02-04,46,3,7,1
2023-02-05,46,3,10,1
2023-02-06,33,3,29,6
2023-02-07,51,9,0,8
2023-02-08,49,12,18,6
2023-02-09,57,9,15,2
2023-02-10,50,7,20,1
2023-02-11,53,6,9,1
2023-02-12,55,6,11,0
2023-02-13,41,5,29,2
2023-02-14,55,6,24,1
2023-02-15,58,5,11,3
2023-02-16,43,7,10,4
2023-02-17,38,8,27,2
2023-02-18,49,8,10,2
2023-02-19,44,7,6,0
2023-02-20,28,6,17,0
2023-02-21,34,4,29,2
2023-02-22,48,5,21,2
2023-02-23,49,5,10,3
2023-02-24,33,5,27,0
2023-02-25,42,3,22,0
2023-02-26,57,3,9,0
2023-02-27,44,2,22,1
2023-02-28,33,2,23,7
2023-03-01,45,4,20,4
2023-03-02,43,7,29,2
2023-03-03,43,6,30,2
2023-03-04,49,6,8,0
2023-03-05,41,6,2,2
2023-03-06,22,5,29,4
2023-03-07,33,7,0,11
2023-03-08,31,16,7,8
2023-03-09,29,18,2,6
2023-03-10,25,12,14,14
2023-03-11,31,19,4,2
2023-03-12,33,21,2,3
2023-03-13,22,14,15,13
2023-03-14,32,15,13,13
2023-03-15,36,20,9,6
2023-03-16,36,20,18,4
2023-03-17,27,12,22,10
2023-03-18,35,16,21,5
2023-03-19,53,16,5,1
2023-03-20,28,11,31,5
2023-03-21,46,9,25,4
2023-03-22,46,10,10,14
2023-03-23,34,20,2,7
2023-03-24,25,12,23,13
2023-03-25,37,20,13,4
2023-03-26,43,20,5,5
2023-03-27,31,15,22,15
2023-03-28,33,19,3,11
2023-03-29,28,18,24,6
2023-03-30,38,15,16,4
2023-03-31,34,7,34,5
2023-04-01,53,8,19,2
2023-04-02,67,8,7,2
2023-04-03,44,6,34,3
2023-04-04,48,7,28,1
2023-04-05,49,3,19,3
2023-04-06,35,3,2,6
2023-04-07,26,7,31,4
2023-04-08,43,9,15,1
2023-04-09,56,10,7,0
2023-04-10,53,9,7,0
2023-04-11,39,3,20,0
2023-04-12,43,2,24,1
2023-04-13,49,2,7,6
2023-04-14,39,2,33,2
2023-04-15,58,3,8,0
2023-04-16,53,1,9,0
